question,category,sub_category
I am unable to view or access my attendance details or the attendance section in the app or LMS. What should I do?,attendance-query,attendance-access
How can I get an attendance certificate or proof of total learning hours for external requirements such as CPE or employer verification?,attendance-query,attendance-certificate
Some sessions show no attendance status (neither present nor absent) or show absences for dates before my official start date. How can I get these discrepancies corrected?,attendance-query,attendance-discrepancy
"Are there any exceptions, refunds, or options to defer or shift to another batch if my overall attendance is low due to genuine constraints?",attendance-query,attendance-exceptions-and-refund
"I am joining classes from a different device, Zoom ID, email, or external link and my attendance is not recorded. How can I ensure my attendance is captured correctly?",attendance-query,attendance-identity-device
"If I have low attendance or some sessions marked absent, how will it affect my course completion, CGPA, certificate, and placement or IRP eligibility?",attendance-query,attendance-impact
"I missed or will miss several classes due to exams, work, or personal reasons. How can I manage, make up, or catch up on my attendance and coursework?",attendance-query,attendance-makeup
"How can I check my current attendance percentage and whether I meet the minimum criteria required for course completion, exams, or placements?",attendance-query,attendance-percentage
"How is attendance calculated for live and recorded sessions, what minimum percentage is required for course completion, certificate, and placement eligibility, and do tutorial or doubt sessions count?",attendance-query,attendance-policy
How do I correctly mark or record my attendance for online classes so that it is captured properly in the LMS?,attendance-query,attendance-process
My attendance and assignment completion status or overall course progress are not updating correctly on the LMS. How can I get this fixed?,attendance-query,attendance-progress-tracking
"I missed classes, assignments, or evaluations due to health, exams, or personal emergencies. How will this affect my attendance and grades, and can I get leave, extensions, or regularization?",attendance-query,attendance-regularization
My attendance is not updating correctly across multiple sessions or the overall percentage looks wrong despite regular participation. How can I get my attendance reviewed and bulk-corrected?,attendance-query,attendance-review
"How does the attendance tracking system work for live Zoom sessions and LMS recordings, including late-joining grace periods and watching videos in parts or at different speeds?",attendance-query,attendance-rules
How can I check my attendance status for each lecture or session on the new dashboard layout or attendance calendar?,attendance-query,attendance-status
How can I check or track my attendance and attendance percentage for all classes and sessions in one place on the LMS?,attendance-query,attendance-summary
My overall attendance or course progress is not syncing or updating even after completing all required lectures and videos. How can I resolve this technical issue?,attendance-query,attendance-sync-issue
"The attendance option, status, or dashboard is missing or not visible on my LMS. How can I access or restore my attendance view?",attendance-query,attendance-visibility
My attendance is not being recorded properly when I join via Zoom mobile app or due to Zoom authentication issues. How can I fix this integration problem?,attendance-query,attendance-zoom-integration
"I attended a live class or watched the full recording within the allowed time, but my attendance is still marked absent or not updated. What should I do?",attendance-query,incorrect-attendance
"I want to apply for leave or request attendance adjustment for specific dates due to exams, illness, or emergencies. What is the process?",attendance-query,leave-and-exceptions
My attendance shows absent or incorrect even though I attended the live class or joined via Zoom. How can I get my live-session attendance corrected?,attendance-query,live-session-attendance
"I am not receiving Zoom links, class joining details, or pre-class notifications, which is affecting my ability to attend and get attendance. What should I do?",attendance-query,missing-zoom-link
I watched recorded lectures but my attendance is not getting marked or updated. How is attendance for recordings calculated and within what time window is it counted?,attendance-query,recording-attendance
My attendance is frequently marked absent or not recorded correctly due to technical issues in the app or LMS. How can I get this recurring problem fixed?,attendance-query,technical-attendance-issues
"Where can I see my detailed attendance record and overall attendance percentage on the LMS, and how can I track it over time?",attendance-query,view-attendance
"When will I receive my admit card or hall ticket and exam center or login details, and what should I do if I cannot download or access it or if details are incorrect?",evaluation,admit-card
"When will I receive my final certificate from the partner institute or university, and will it mention module-wise performance or CGPA?",evaluation,certificate
"What certificate will I receive upon course completion, what minimum CGPA or scores are required, and will I get any certificate if I do not meet all passing criteria?",evaluation,certificate-eligibility
"How is my CGPA calculated from quizzes, assignments, and exams, and where can I see my current CGPA or report card?",evaluation,cgpa-info
"Are assignments and projects included in the overall evaluation and CGPA, and what is their weightage compared to quizzes and exams?",evaluation,evaluation-policy
"When are my upcoming evaluations or exams scheduled, how do multiple slots work, and where can I see the detailed evaluation calendar?",evaluation,evaluation-schedule
"I am unable to start or access an exam or quiz because the link, start button, or attempt option is not visible or not working. What should I do?",evaluation,exam-access-issues
"Can I change my exam mode or center (online vs offline, different city) or reschedule my offline exam date or slot due to health, travel, or exam clashes?",evaluation,exam-mode-change
